Country Name,Country Code,2018,2019,2020,2021
Burundi,BDI,76.4359970092773,76.390998840332,75.5630035400391,75.693000793457
Brazil,BRA,64.4130020141602,64.9199981689453,59.3530006408691,60.1150016784668
Canada,CAN,65.3619995117188,65.8659973144531,62.1059989929199,64.3779983520508
Colombia,COL,74.7850036621094,73.3939971923828,66.609001159668,69.0230026245117
Cyprus,CYP,62.2050018310547,64.375,63.8390007019043,65.0820007324219
Germany,DEU,64.2789993286133,65.0989990234375,63.7480010986328,63.4889984130859
Algeria,DZA,61.0200004577637,61.0439987182617,57.3470001220703,57.75
Estonia,EST,67.4089965820313,67.7269973754883,65.6760025024414,65.552001953125
France,FRA,54.7960014343262,54.609001159668,54.060001373291,54.8349990844727
United Kingdom,GBR,65.5759963989258,65.4960021972656,63.9659996032715,63.9179992675781
Greece,GRC,50.7070007324219,51.5730018615723,50.9690017700195,51.3569984436035
Haiti,HTI,61.8409996032715,61.7799987792969,60.048999786377,60.1650009155273
India,IND,69.625,69.318000793457,63.4469985961914,65.6419982910156
Japan,JPN,69.2939987182617,69.620002746582,69.2180023193359,68.8949966430664
Cambodia,KHM,86.6829986572266,86.6060028076172,85.5479965209961,85.4769973754883
Sri Lanka,LKA,70.2129974365234,69.375,65.3249969482422,65.8399963378906
Lithuania,LTU,62.9480018615723,63.0960006713867,62.4949989318848,62.201000213623
Latvia,LVA,62.6150016784668,63.1300010681152,62.3120002746582,61.2719993591309
Madagascar,MDG,87.1529998779297,87.004997253418,85.1949996948242,85.3990020751953
Mexico,MEX,74.6169967651367,74.2050018310547,68.0169982910156,72.0309982299805
Nigeria,NGA,55.2200012207031,54.9780006408691,52.931999206543,53.2960014343262
Russian Federation,RUS,67.8190002441406,67.2699966430664,66.1139984130859,66.2379989624023
Ukraine,UKR,57.9850006103516,59.3160018920898,57.4500007629395,57.7960014343262
United States,USA,65.2200012207031,65.4879989624023,61.3779983520508,62.6860008239746
"Venezuela, RB",VEN,69.7710037231445,67.0699996948242,63.6139984130859,63.8899993896484
Vietnam,VNM,79.963996887207,79.1259994506836,78.427001953125,77.6620025634766
"Yemen, Rep.",YEM,59.7529983520508,59.9790000915527,59.1959991455078,59.2190017700195
