Country Name,Country Code,2018,2019,2020,2021
Burundi,BDI,1.98099994659424,1.96899998188019,2.1010000705719,2.17899990081787
Brazil,BRA,10.8680000305176,10.206000328064,11.9309997558594,11.9069995880127
Canada,CAN,6.13899993896484,6.03000020980835,9.52600002288818,7.69000005722046
Colombia,COL,7.09000015258789,7.87900018692017,12.2299995422363,11.5069999694824
Cyprus,CYP,8.04199981689453,6.28000020980835,7.56699991226196,5.35699987411499
Germany,DEU,3.78999996185303,3.49399995803833,4.19600009918213,3.86500000953674
Algeria,DZA,8.41300010681152,8.51599979400635,10.4270000457764,10.4370002746582
Estonia,EST,5.41300010681152,4.07600021362305,6.9689998626709,6.5789999961853
France,FRA,8.98099994659424,8.4680004119873,8.0629997253418,8.10999965667725
United Kingdom,GBR,4.05200004577637,3.92400002479553,4.75899982452393,4.72800016403198
Greece,GRC,15.4040002822876,14.0089998245239,13.5640001296997,11.6180000305176
Haiti,HTI,11.2290000915527,11.2980003356934,12.7170000076294,12.7159996032715
India,IND,5.33799982070923,5.36100006103516,8.61900043487549,6.34800004959106
Japan,JPN,2.57399988174438,2.53500008583069,3.02300000190735,3.00600004196167
Cambodia,KHM,0.112999998033047,0.116999998688698,0.28600001335144,0.513000011444092
Sri Lanka,LKA,2.97699999809265,3.0090000629425,4.33699989318848,3.87599992752075
Lithuania,LTU,6.89400005340576,7.03299999237061,9.28299999237061,8.3459997177124
Latvia,LVA,8.40499973297119,7.19600009918213,9.13000011444092,8.3129997253418
Madagascar,MDG,1.81200003623962,1.82000005245209,2.43199992179871,2.50600004196167
Mexico,MEX,3.18899989128113,3.45700001716614,4.66699981689453,4.48799991607666
Nigeria,NGA,8.53299999237061,9.375,10.6120004653931,10.5629997253418
Russian Federation,RUS,4.91300010681152,4.6560001373291,5.64400005340576,4.99100017547607
Ukraine,UKR,10.0570001602173,8.49600028991699,9.45499992370605,9.07999992370605
United States,USA,3.95099997520447,3.72099995613098,7.7960000038147,5.64599990844727
"Venezuela, RB",VEN,4.50500011444092,4.60500001907349,6.07100009918213,5.78499984741211
Vietnam,VNM,1.27799999713898,2.06800007820129,2.00200009346008,2.23399996757507
"Yemen, Rep.",YEM,12.0559997558594,11.9770002365112,12.3000001907349,12.4460000991821
