Country Name,Country Code,2018,2019,2020,2021
Burundi,BDI,1.21800005435944,1.23300004005432,1.33700001239777,1.42799997329712
Brazil,BRA,14.2270002365112,14.1389999389648,16.0419998168945,17.681999206543
Canada,CAN,5.48899984359741,5.25,9.38599967956543,7.30900001525879
Colombia,COL,11.7910003662109,12.7480001449585,19.0400009155273,18.3229999542236
Cyprus,CYP,8.75300025939941,8.00599956512451,7.61700010299683,7.05600023269653
Germany,DEU,2.91000008583069,2.73300004005432,3.375,3.16400003433228
Algeria,DZA,18.5200004577637,18.6299991607666,21.4500007629395,22.1319999694824
Estonia,EST,5.32299995422363,4.84700012207031,6.61899995803833,6.06599998474121
France,FRA,9.06099987030029,8.34799957275391,7.95300006866455,8.01200008392334
United Kingdom,GBR,3.94199991226196,3.53399991989136,4.15500020980835,4.30100011825562
Greece,GRC,24.2840003967285,21.5440006256104,19.8239994049072,18.8430004119873
Haiti,HTI,16.6350002288818,16.6809997558594,18.4069995880127,18.9619998931885
India,IND,5.2979998588562,4.93200016021729,5.50699996948242,4.53299999237061
Japan,JPN,2.17799997329712,2.23000001907349,2.51900005340576,2.53800010681152
Cambodia,KHM,0.17399999499321,0.178000003099442,0.379000008106232,0.717000007629395
Sri Lanka,LKA,6.94199991226196,6.9520001411438,8.92599964141846,8.39200019836426
Lithuania,LTU,5.41300010681152,5.5,7.69999980926514,7.46799993515015
Latvia,LVA,6.41599988937378,5.42700004577637,7.07000017166138,6.88600015640259
Madagascar,MDG,1.875,1.89499998092651,2.51799988746643,2.68600010871887
Mexico,MEX,3.42899990081787,3.51699995994568,4.09700012207031,4.20599985122681
Nigeria,NGA,8.36200046539307,7.47200012207031,8.58100032806396,8.8100004196167
Russian Federation,RUS,4.78299999237061,4.33599996566772,5.53399991989136,5.02899980545044
Ukraine,UKR,7.44299983978271,7.85599994659424,8.7790002822876,8.65900039672852
United States,USA,3.84100008010864,3.61100006103516,8.34500026702881,5.25299978256226
"Venezuela, RB",VEN,5.86600017547607,5.9980001449585,7.6560001373291,7.5789999961853
Vietnam,VNM,1.02900004386902,2.00799989700317,2.81900000572205,2.09200000762939
"Yemen, Rep.",YEM,25.2490005493164,25.0270004272461,25.4939994812012,26.2819995880127
